,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards,WebURL
106,"Bahria Apartments, Bahria Town Karachi",9600000.0,2.0,2.0,109,https://www.zameen.com/Homes/Karachi-2-5.html
107,"Bahria Town - Ali Block, Bahria Town - Precinct 12",15500000.0,4.0,4.0,125,https://www.zameen.com/Homes/Karachi-2-5.html
108,"Bahria Town - Precinct 27, Bahria Town Karachi",17000000.0,3.0,3.0,235,https://www.zameen.com/Homes/Karachi-2-5.html
109,"Bahria Town Karachi, Karachi",6600000.0,2.0,2.0,91,https://www.zameen.com/Homes/Karachi-2-5.html
110,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-5.html
111,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-5.html
112,"Askari 5 - Sector G, Askari 5",85500000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-5.html
113,"Askari 5, Malir Cantonment",37500000.0,3.0,3.0,286,https://www.zameen.com/Homes/Karachi-2-5.html
114,"Askari 5, Malir Cantonment",38000000.0,3.0,3.0,286,https://www.zameen.com/Homes/Karachi-2-5.html
115,"North Nazimabad - Block C, North Nazimabad",55000000.0,6.0,6.0,400,https://www.zameen.com/Homes/Karachi-2-5.html
116,"North Nazimabad - Block J, North Nazimabad",30500000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-5.html
117,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",19000000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-5.html
118,"Bahria Town - Precinct 10-A, Bahria Town Karachi",17800000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-5.html
119,"Bahria Town - Precinct 8, Bahria Town Karachi",29000000.0,4.0,4.0,272,https://www.zameen.com/Homes/Karachi-2-5.html
120,"Bahria Town - Precinct 6, Bahria Town Karachi",29000000.0,4.0,4.0,272,https://www.zameen.com/Homes/Karachi-2-5.html
121,"Askari 5 - Sector G, Askari 5",84000000.0,6.0,7.0,500,https://www.zameen.com/Homes/Karachi-2-5.html
122,"Askari 5 - Sector J, Askari 5",67500000.0,5.0,6.0,375,https://www.zameen.com/Homes/Karachi-2-5.html
123,"Askari 5 - Sector J, Askari 5",68000000.0,5.0,6.0,375,https://www.zameen.com/Homes/Karachi-2-5.html
124,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,4.0,304,https://www.zameen.com/Homes/Karachi-2-5.html
125,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,4.0,289,https://www.zameen.com/Homes/Karachi-2-6.html
126,"Falcon Complex New Malir, Malir",85000000.0,5.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-6.html
127,"Navy Housing Scheme Karsaz, Karachi",79000000.0,5.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-6.html
128,"Navy Housing Scheme Karsaz, Karachi",105000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-6.html
129,"Falcon Complex New Malir, Malir",72000000.0,5.0,6.0,350,https://www.zameen.com/Homes/Karachi-2-6.html
130,"Falcon Complex New Malir, Malir",79000000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-6.html
131,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",27000000.0,4.0,6.0,120,https://www.zameen.com/Homes/Karachi-2-6.html
132,"Bahria Town - Ali Block, Bahria Town - Precinct 12",14000000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-6.html
133,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",6200000.0,,0.0,0,https://www.zameen.com/Homes/Karachi-2-6.html
134,"DHA Phase 6, DHA Defence",250000000.0,6.0,6.0,1,https://www.zameen.com/Homes/Karachi-2-6.html
135,"Askari 5 - Sector J, Askari 5",64500000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-6.html
136,"Askari 5 - Sector J, Askari 5",64100000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-6.html
137,"North Karachi - Sector 11A, North Karachi",5200000.0,2.0,2.0,83,https://www.zameen.com/Homes/Karachi-2-6.html
138,"Emaar Reef Towers, Emaar Crescent Bay",68000000.0,3.0,3.0,272,https://www.zameen.com/Homes/Karachi-2-6.html
139,"Mashraqi Society, Scheme 33 - Sector 52-A",15500000.0,4.0,3.0,120,https://www.zameen.com/Homes/Karachi-2-6.html
140,"Scheme 33, Karachi",15500000.0,3.0,4.0,120,https://www.zameen.com/Homes/Karachi-2-6.html
141,"Gulshan-e-Maymar, Gadap Town",15500000.0,3.0,4.0,120,https://www.zameen.com/Homes/Karachi-2-6.html
142,"Askari 5 - Sector J, Askari 5",39500000.0,3.0,4.0,304,https://www.zameen.com/Homes/Karachi-2-6.html
143,"DOHS Phase 1, Malir Cantonment",132000000.0,6.0,6.0,550,https://www.zameen.com/Homes/Karachi-2-6.html
144,"Old Falcon Complex (AFOHS), Malir Cantonment",71000000.0,5.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-6.html
145,"Falcon Complex New Malir, Malir",75000000.0,4.0,4.0,350,https://www.zameen.com/Homes/Karachi-2-6.html
146,"Falcon Complex New Malir, Malir",84000000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-6.html
147,"Askari 5 - Sector J, Askari 5",68000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-6.html
148,"Falcon Complex New Malir, Malir",74500000.0,4.0,4.0,350,https://www.zameen.com/Homes/Karachi-2-6.html
149,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,3.0,304,https://www.zameen.com/Homes/Karachi-2-6.html
150,"Askari 5 - Sector J, Askari 5",65000000.0,5.0,6.0,375,https://www.zameen.com/Homes/Karachi-2-7.html
151,"Askari 5, Malir Cantonment",36000000.0,3.0,4.0,289,https://www.zameen.com/Homes/Karachi-2-7.html
152,"Bahria Town - Precinct 8, Bahria Town Karachi",29000000.0,5.0,5.0,250,https://www.zameen.com/Homes/Karachi-2-7.html
153,"Bahria Town - Ali Block, Bahria Town - Precinct 12",15000000.0,4.0,4.0,125,https://www.zameen.com/Homes/Karachi-2-7.html
154,"Bahria Town - Precinct 6, Bahria Town Karachi",28000000.0,5.0,6.0,272,https://www.zameen.com/Homes/Karachi-2-7.html
155,"DHA Phase 5, DHA Defence",265000000.0,6.0,6.0,1,https://www.zameen.com/Homes/Karachi-2-7.html
156,"Punjabi Saudagar Society Phase 2, Scheme 33 - Sector 50",25000000.0,4.0,5.0,120,https://www.zameen.com/Homes/Karachi-2-7.html
157,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",12500000.0,3.0,3.0,133,https://www.zameen.com/Homes/Karachi-2-7.html
158,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",11500000.0,3.0,3.0,131,https://www.zameen.com/Homes/Karachi-2-7.html
159,"Bahria Apartments, Bahria Town Karachi",7300000.0,2.0,2.0,106,https://www.zameen.com/Homes/Karachi-2-7.html
160,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-7.html
161,"Askari 5 - Sector J, Askari 5",64300000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-7.html
162,"Saima Arabian Villas, Gadap Town",13600000.000000002,3.0,3.0,120,https://www.zameen.com/Homes/Karachi-2-7.html
163,"Defence View Phase 1, Defence View Society",27500000.0,3.0,3.0,189,https://www.zameen.com/Homes/Karachi-2-7.html
164,"Defence View Phase 1, Defence View Society",21500000.0,3.0,3.0,133,https://www.zameen.com/Homes/Karachi-2-7.html
165,"PECHS Block 2, PECHS",27500000.0,3.0,4.0,171,https://www.zameen.com/Homes/Karachi-2-7.html
166,"PECHS Block 2, PECHS",18000000.0,3.0,4.0,150,https://www.zameen.com/Homes/Karachi-2-7.html
167,"Askari 5 - Sector J, Askari 5",69000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-7.html
168,"Gwalior Cooperative Housing Society, Scheme 33",7600000.0,2.0,3.0,103,https://www.zameen.com/Homes/Karachi-2-7.html
169,"Karachi University Housing Society, Scheme 33",6800000.0,2.0,2.0,72,https://www.zameen.com/Homes/Karachi-2-7.html
170,"Clifton - Block 4, Clifton",41000000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-7.html
171,"Clifton - Block 6, Clifton",95000000.0,4.0,6.0,592,https://www.zameen.com/Homes/Karachi-2-7.html
