,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards
16561,other,6500000.0,2.0,2.0,120
16562,"Gulshan-e-Rafi, Malir",4500000.0,2.0,2.0,80
16563,"DHA Phase 6, DHA Defence",90000000.0,6.0,5.0,500
16564,other,13000000.0,2.0,2.0,106
16565,"Saima Arabian Villas, Gadap Town",5400000.0,2.0,2.0,83
16567,"North Nazimabad - Block L, North Nazimabad",95000000.0,6.0,6.0,450
16568,other,38000000.0,4.0,4.0,240
16571,"Bukhari Commercial Area, DHA Phase 6",14500000.0,3.0,3.0,133
16572,"Clifton - Block 8, Clifton",87500000.0,4.0,5.0,350
16573,"Bukhari Commercial Area, DHA Phase 6",14800000.0,3.0,3.0,133
16574,"Clifton - Block 3, Clifton",27000000.0,3.0,3.0,178
16575,"Bahria Town - Ali Block, Bahria Town - Precinct 12",14500000.0,3.0,3.0,125
16576,"Bahria Town - Precinct 6, Bahria Town Karachi",29000000.0,5.0,5.0,250
16577,"Bahria Town - Precinct 25, Bahria Town Karachi",12000000.0,3.0,3.0,125
16578,"Bahria Town - Precinct 27, Bahria Town Karachi",13500000.0,3.0,3.0,125
16579,"Bahria Town - Precinct 31, Bahria Town Karachi",13500000.0,3.0,3.0,125
16580,"Bahria Town - Precinct 8, Bahria Town Karachi",30000000.0,5.0,5.0,250
16581,"Bahria Town - Precinct 30, Bahria Town Karachi",25000000.0,5.0,5.0,250
16582,"Bahria Town - Precinct 16, Bahria Town Karachi",26500000.0,5.0,5.0,250
16583,"Saima Royal Residency, Rashid Minhas Road",25000000.0,3.0,3.0,189
16585,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,7.0,375
16586,"Askari 5 - Sector J, Askari 5",64500000.0,5.0,7.0,375
16587,"DHA Phase 8, DHA Defence",165000000.0,5.0,5.0,500
16588,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",23500000.0,3.0,3.0,167
16589,"State Bank of Pakistan Housing Society, Scheme 33 - Sector 17-A",7500000.0,2.0,2.0,111
16590,"Gulistan-e-Jauhar, Karachi",63000000.0,6.0,6.0,240
16591,other,14500000.0,2.0,2.0,135
16592,other,17400000.0,3.0,4.0,161
16593,other,23500000.0,4.0,4.0,120
16594,"Askari 4, Gulistan-e-Jauhar",61500000.0,3.0,3.0,305
16595,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",23000000.0,3.0,3.0,233
16596,"DHA Phase 6, DHA Defence",102000000.0,6.0,6.0,500
16597,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",35000000.0,3.0,3.0,189
16598,"Delhi Colony, Karachi",7000000.0,3.0,2.0,200
16599,"Delhi Colony, Karachi",7000000.0,2.0,2.0,111
16600,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",23000000.0,3.0,3.0,233
16601,"DHA Phase 6, DHA Defence",102000000.0,6.0,6.0,500
16602,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",35000000.0,3.0,3.0,189
16603,"Delhi Colony, Karachi",7000000.0,3.0,2.0,200
16604,"Delhi Colony, Karachi",7000000.0,2.0,2.0,111
16605,"Clifton - Block 8, Clifton",3700000.0,2.0,1.0,67
16606,other,5500000.0,3.0,2.0,106
16607,other,6500000.0,2.0,2.0,120
16608,"Gulshan-e-Rafi, Malir",4500000.0,2.0,2.0,80
16609,"DHA Phase 6, DHA Defence",90000000.0,6.0,5.0,500
16610,other,13000000.0,2.0,2.0,106
16611,"Saima Arabian Villas, Gadap Town",5400000.0,2.0,2.0,83
16613,"North Nazimabad - Block L, North Nazimabad",95000000.0,6.0,6.0,450
16614,other,38000000.0,4.0,4.0,240
16617,"Bukhari Commercial Area, DHA Phase 6",14500000.0,3.0,3.0,133
16618,"Clifton - Block 8, Clifton",87500000.0,4.0,5.0,350
16619,"Bukhari Commercial Area, DHA Phase 6",14800000.0,3.0,3.0,133
16620,"Clifton - Block 3, Clifton",27000000.0,3.0,3.0,178
16621,"Clifton - Block 4, Clifton",19000000.0,3.0,4.0,156
16622,"Askari 5, Malir Cantonment",33500000.0,3.0,5.0,304
16623,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",18500000.0,3.0,3.0,240
16624,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",26000000.0,4.0,5.0,200
16625,other,8000000.0,2.0,2.0,90
16626,"Nishat Commercial Area, DHA Phase 6",15000000.0,3.0,3.0,178
16627,"DHA Phase 5, DHA Defence",13000000.0,4.0,3.0,222
16628,"DHA Phase 5, DHA Defence",8500000.0,2.0,2.0,111
16629,"PECHS Block 2, PECHS",76000000.0,6.0,6.0,240
16630,"PECHS Block 2, PECHS",35000000.0,3.0,3.0,200
16631,"PECHS Block 2, PECHS",50000000.0,4.0,4.0,244
